,Rank,Title,Studio,Opening,%_of_total,No_of_Theaters,Date**,Month,Year,ave_opening_by_studio,Studio_value
210,211,Men in Black,Sony,51068455,20.40%,3020,7/2/97,7,1997,78030367.0,3
211,212,Prometheus,Fox,51050101,40.40%,3396,6/8/12,6,2012,70657547.0,3
212,213,Wanted,Uni.,50927085,37.90%,3175,6/27/08,6,2008,77343886.0,3
213,214,Coco,BV,50802605,24.20%,3987,11/22/17,11,2017,104914271.0,4
214,215,Jurassic Park III,Uni.,50771645,28.00%,3434,7/18/01,7,2001,77343886.0,3
215,216,The Village,BV,50746142,44.40%,3730,7/30/04,7,2004,104914271.0,4
216,217,Dunkirk,WB,50513488,26.90%,3720,7/21/17,7,2017,86199612.0,3
217,218,2 Fast 2 Furious,Uni.,50472480,39.70%,3408,6/6/03,6,2003,77343886.0,3
218,219,Jackass 3-D,Par.,50353641,43.00%,3081,10/15/10,10,2010,70302989.0,3
219,220,Mr. & Mrs. Smith,Fox,50342878,27.00%,3424,6/10/05,6,2005,70657547.0,3
220,221,Independence Day,Fox,50228264,16.40%,2882,7/3/96,7,1996,70657547.0,3
221,222,A Quiet Place,Par.,50203562,26.80%,3508,4/6/18,4,2018,70302989.0,3
222,223,The Boss Baby,Fox,50198902,28.70%,3773,3/31/17,3,2017,70657547.0,3
223,224,King Kong,Uni.,50130145,23.00%,3568,12/14/05,12,2005,77343886.0,3
224,225,The Great Gatsby (2013),WB,50085185,34.60%,3535,5/10/13,5,2013,86199612.0,3
