,Title,Studio,Opening,Date,Director,Budget,imdbID,month,year,Actor,Genre,Writer
10,The Waterboy,BV,"$39,414,071",11/6/1998,,,,5,2012,,,
11,Rio 2,Fox,"$39,327,869",4/11/2014,Ryan Coogler,,tt1825683,2,2018,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira","Action, Adventure, Sci-Fi","Ryan Coogler, Joe Robert Cole, Stan Lee (based on the Marvel Comics by), Jack Kirby (based on the Marvel Comics by)"
12,Rio,Fox,"$39,225,962",4/15/2011,Joss Whedon,,tt2395427,5,2015,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans","Action, Adventure, Sci-Fi","Joss Whedon, Stan Lee (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by), Joe Simon (character created by: Captain America), Jack Kirby (character created by: Captain America), Jim Starlin (character created by: Thanos)"
13,Taken 3,Fox,"$39,201,657",1/9/2015,Brad Bird,,tt3606756,6,2018,"Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner","Animation, Action, Adventure",Brad Bird
14,The Break-Up,Uni.,"$39,172,785",6/2/2006,"Anthony Russo, Joe Russo",,tt3498820,5,2016,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan","Action, Adventure, Sci-Fi","Christopher Markus (screenplay by), Stephen McFeely (screenplay by), Joe Simon (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by)"
15,The Good Dinosaur,BV,"$39,155,217",11/25/2015,,,,3,2017,,,
16,Ocean's Twelve,WB,"$39,153,380",12/10/2004,Shane Black,,tt1300854,5,2013,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce","Action, Adventure, Sci-Fi","Drew Pearce (screenplay by), Shane Black (screenplay by), Stan Lee (based on the Marvel comic book by), Don Heck (based on the Marvel comic book by), Larry Lieber (based on the Marvel comic book by), Jack Kirby (based on the Marvel comic book by), Warren Ellis (based on the ""Extremis"" mini-series written by), Adi Granov (based on the ""Extremis"" mini-series illustrated by)"
17,The Grudge,Sony,"$39,128,715",10/22/2004,David Yates,,tt1201607,7,2011,"Ralph Fiennes, Michael Gambon, Alan Rickman, Daniel Radcliffe","Adventure, Drama, Fantasy","Steve Kloves (screenplay), J.K. Rowling (novel)"
18,Magic Mike,WB,"$39,127,170",6/29/2012,Zack Snyder,,tt2975590,3,2016,"Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg","Action, Adventure, Fantasy","Chris Terrio, David S. Goyer, Bob Kane (Batman created by), Bill Finger (Batman created by), Jerry Siegel (Superman created by), Joe Shuster (Superman created by), William Moulton Marston (character created by: Wonder Woman)"
19,The Heat,Fox,"$39,115,043",6/28/2013,Christopher Nolan,,tt1345836,7,2012,"Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt","Action, Thriller","Jonathan Nolan (screenplay), Christopher Nolan (screenplay), Christopher Nolan (story), David S. Goyer (story), Bob Kane (characters)"
