,Title,Studio,Opening,Date,Director,Budget,imdbID,month,year,Actor,Genre,Writer,Ratings
74,John Tucker Must Die,Fox,"$14,276,534",7/28/2006,Betty Thomas,,tt0455967,5,2011,"Jesse Metcalfe, Brittany Snow, Ashanti, Sophia Bush","Comedy, Romance",Jeff Lowell,0.27
75,The Devil's Own,Sony,"$14,274,503",3/28/1997,Joe Johnston,,tt0317648,1,2015,"Viggo Mortensen, Zuleikha Robinson, Omar Sharif, Louise Lombard","Action, Adventure, Biography",John Fusco,0.46
76,"Honey, I Shrunk the Kids",BV,"$14,262,961",6/23/1989,Joe Johnston,,tt0097523,3,2017,"Rick Moranis, Matt Frewer, Marcia Strassman, Kristine Sutherland","Adventure, Comedy, Family","Stuart Gordon (story), Brian Yuzna (story), Ed Naha (story), Ed Naha (screenplay), Tom Schulman (screenplay)",0.75
77,Are We Done Yet?,SonR,"$14,262,724",4/4/2007,Steve Carr,,tt0422774,11,2012,"Ice Cube, Nia Long, John C. McGinley, Aleisha Allen","Comedy, Family, Fantasy","Hank Nelken (screenplay), Hank Nelken (screen story), Steven Gary Banks (characters), Claudia Grazioso (characters), Norman Panama (screenplay ""Mr. Blandings Builds His Dream House""), Melvin Frank (screenplay ""Mr. Blandings Builds His Dream House"")",0.08
80,E.T. (20th Anniversary),Uni.,"$14,223,110",3/22/2002,Oliver Stone,,tt0469641,4,2011,"Nicolas Cage, Maria Bello, Connor Paolo, Anthony Piccininni","Drama, History, Thriller","Andrea Berloff, John McLoughlin (true story), Donna McLoughlin (true story), William Jimeno (true story), Allison Jimeno (true story)",0.68
81,Quarantine,SGem,"$14,211,321",10/10/2008,John Erick Dowdle,,tt1082868,5,2011,"Jennifer Carpenter, Steve Harris, Jay Hernandez, Johnathon Schaech","Horror, Thriller","John Erick Dowdle (screenplay by), Drew Dowdle (screenplay by), Jaume Balagueró (based on the motion picture ""Rec"" written by), Luiso Berdejo (based on the motion picture ""Rec"" written by), Paco Plaza (based on the motion picture ""Rec"" written by)",0.59
82,Hope Floats,Fox,"$14,210,464",5/29/1998,Forest Whitaker,,tt0119313,11,2013,"Sandra Bullock, Harry Connick Jr., Gena Rowlands, Mae Whitman","Drama, Romance",Steven Rogers,0.24
84,Blue Crush,Uni.,"$14,169,455",8/16/2002,John Stockwell,,tt0300532,2,2015,"Kate Bosworth, Matthew Davis, Michelle Rodriguez, Sanoe Lake","Drama, Romance, Sport","Susan Orlean (magazine article ""Surf Girls of Maui""), Lizzy Weiss (story), Lizzy Weiss (screenplay), John Stockwell (screenplay)",0.36
85,Scary Movie 5,W/Dim.,"$14,157,367",4/12/2013,"Malcolm D. Lee, David Zucker",,tt0795461,11,2016,"Ashley Tisdale, Simon Rex, Gracie Whitton, Ava Kolker",Comedy,"David Zucker, Pat Proft, Shawn Wayans (based on characters created by), Marlon Wayans (based on characters created by), Buddy Johnson (based on characters created by), Phil Beauman (based on characters created by), Jason Friedberg (based on characters created by), Aaron Seltzer (based on characters created by)",0.04
87,Gods of Egypt,LG/S,"$14,123,903",2/26/2016,Alex Proyas,,tt2404233,12,2012,"Brenton Thwaites, John Samaha, Courtney Eaton, Nikolaj Coster-Waldau","Action, Adventure, Fantasy","Matt Sazama, Burk Sharpless",0.15
88,The Last House on the Left (2009),Uni.,"$14,118,685",3/13/2009,Ryan Murphy,,tt0879870,5,2018,"Julia Roberts, I. Gusti Ayu Puspawati, Hadi Subiyanto, Billy Crudup","Drama, Romance","Ryan Murphy (screenplay), Jennifer Salt (screenplay), Elizabeth Gilbert (book)",0.36
90,Addams Family Values,Par.,"$14,117,545",11/19/1993,Barry Sonnenfeld,,tt0106220,7,2013,"Anjelica Huston, Raul Julia, Christopher Lloyd, Joan Cusack","Comedy, Fantasy","Charles Addams (characters), Paul Rudnick",0.78
91,Anastasia,Fox,"$14,104,933",11/21/1997,"Don Bluth, Gary Goldman",,tt0118617,6,2013,"Meg Ryan, John Cusack, Kelsey Grammer, Christopher Lloyd","Animation, Adventure, Drama","Susan Gauthier (screenplay), Bruce Graham (screenplay), Bob Tzudiker (screenplay), Noni White (screenplay), Eric Tuchman (animation adaptation)",0.85
93,Dreamgirls,P/DW,"$14,100,050",12/25/2006,Bill Condon,,tt0443489,3,2013,"Jamie Foxx, Beyoncé, Eddie Murphy, Danny Glover","Drama, Music, Musical","Tom Eyen (based on the original broadway production book by), Bill Condon (screenplay)",0.78
100,Agent Cody Banks,MGM,"$14,064,317",3/14/2003,Harald Zwart,,tt0313911,3,2016,"Frankie Muniz, Hilary Duff, Angie Harmon, Keith David","Action, Adventure, Comedy","Ashley Miller (screenplay), Zack Stentz (screenplay), Scott Alexander (screenplay), Larry Karaszewski (screenplay), Jeffrey Jurgensen (story)",0.39
101,Open Range,BV,"$14,047,781",8/15/2003,Kevin Costner,,tt0316356,11,2016,"Robert Duvall, Kevin Costner, Annette Bening, Michael Gambon","Action, Drama, Romance","Lauran Paine (novel), Craig Storper (screenplay)",0.8
103,Miss Congeniality 2: Armed and Fabulous,WB,"$14,043,215",3/24/2005,Tony Scott,,tt0328107,12,2013,"Denzel Washington, Dakota Fanning, Radha Mitchell, Christopher Walken","Action, Crime, Drama","A.J. Quinnell (novel), Brian Helgeland (screenplay)",0.39
106,Domestic Disturbance,Par.,"$14,033,112",11/2/2001,Harold Becker,,tt0249478,7,2014,"John Travolta, James Lashly, Rebecca Tilney, Debra Mooney","Crime, Mystery, Thriller","Lewis Colick (story), William S. Comanor (story), Gary Drucker (story), Lewis Colick (screenplay)",0.24
107,The Heartbreak Kid,P/DW,"$14,022,105",10/5/2007,"Bobby Farrelly, Peter Farrelly",,tt0408839,6,2017,"Ben Stiller, Malin Akerman, Michelle Monaghan, Jerry Stiller","Comedy, Romance","Scot Armstrong (screenplay), Leslie Dixon (screenplay), Bobby Farrelly (screenplay), Peter Farrelly (screenplay), Kevin Barnett (screenplay), Bruce Jay Friedman (short story ""A Change of Plan""), Neil Simon",0.29
111,High Crimes,Fox,"$14,005,550",4/5/2002,Carl Franklin,,tt0257756,5,2010,"Ashley Judd, Morgan Freeman, Jim Caviezel, Adam Scott","Crime, Drama, Mystery","Joseph Finder (novel), Yuri Zeltser (screenplay), Grace Cary Bickley (screenplay)","{'Source': 'Metacritic', 'Value': '48/100'}"
114,Seven,NL,"$13,949,807",9/22/1995,Akira Kurosawa,,tt0047478,11,2015,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki","Adventure, Drama","Akira Kurosawa (screenplay), Shinobu Hashimoto (screenplay), Hideo Oguni (screenplay)",1.0
116,Hot Pursuit,WB (NL),"$13,942,258",5/8/2015,Anne Fletcher,,tt2967224,3,2012,"Reese Witherspoon, Sofía Vergara, Matthew Del Negro, Michael Mosley","Action, Comedy, Crime","David Feeney, John Quaintance",0.07
117,The Siege,Fox,"$13,931,285",11/6/1998,Edward Zwick,,tt0133952,5,2013,"Denzel Washington, Annette Bening, Bruce Willis, Tony Shalhoub","Action, Thriller","Lawrence Wright (story), Lawrence Wright (screenplay), Menno Meyjes (screenplay), Edward Zwick (screenplay)",0.44
119,Racing Stripes,WB,"$13,920,052",1/14/2005,Frederik Du Chau,,tt0376105,5,2014,"Bruce Greenwood, Hayden Panettiere, Caspar Poyck, Gary Bullock","Adventure, Comedy, Drama","David Schmidt (story), Steven P. Wegner (story), Kirk De Micco (story), Frederik Du Chau (story), David Schmidt (screenplay)",0.35
121,Home on the Range,BV,"$13,880,771",4/2/2004,"Will Finn, John Sanford",,tt0299172,5,2015,"G.W. Bailey, Roseanne Barr, Bobby Block, Steve Buscemi","Animation, Adventure, Comedy","Will Finn, John Sanford, Will Finn (story), John Sanford (story), Michael LaBash (story), Sam Levine (story), Mark Kennedy (story), Robert Lence (story), Keith Baxter (additional story), Mike Kunkel (additional story), Jason Lethcoe (additional story), Donnie Long (additional story), Shirley Pierce, Brian Pimental (additional story), David Moses Pimentel (additional story), Ralph Zondag (additional story), Davy Liu (additional story)",0.54
122,"Dude, Where's My Car?",Fox,"$13,845,914",12/15/2000,Sylvester Stallone,,tt0462499,2,2014,"Sylvester Stallone, Julie Benz, Matthew Marsden, Graham McTavish","Action, Thriller, War","Art Monterastelli, Sylvester Stallone, David Morrell (character)",0.37
